Date,Open,High,Low,Close,Adj Close,Volume
12/13/2016,217,220,216.050003,218.5,217.928986,421850
12/14/2016,218,221.600006,216.25,218.699997,218.128448,75262
12/15/2016,215.5,223.800003,215.5,220.899994,220.322708,40759
12/16/2016,221.399994,223.75,220,222.949997,222.36734,18202
12/19/2016,223.449997,223.449997,220.300003,221.800003,221.220352,62516
12/20/2016,222,223.25,220,220.399994,219.824005,356409
12/21/2016,221,222.149994,219.800003,220.600006,220.023499,37694
12/22/2016,220,223.100006,219.699997,220.25,219.674408,58224
12/23/2016,221.699997,228.600006,221.050003,222.600006,222.018265,86660
12/26/2016,225,233,222,227.899994,227.304413,197507
12/27/2016,224.100006,229,224,227.800003,227.204681,28821
12/28/2016,227.949997,230.899994,225.5,229.600006,228.999985,55056
12/29/2016,228.25,230.800003,228.25,229.850006,229.249329,41123
12/30/2016,231,233.550003,230.300003,231.100006,230.496063,81157
1/2/2017,230.600006,231.899994,228.850006,230.300003,229.698151,16558
1/3/2017,229,236.899994,229,233.699997,233.089249,59442
1/4/2017,233.800003,235,229,230,229.398926,64513
1/5/2017,230.899994,233.5,229.850006,230.25,229.64827,70454
1/6/2017,230.5,231.800003,227.100006,228.199997,227.603622,38523
1/9/2017,227.399994,230.699997,227.149994,229.699997,229.099701,114115
1/10/2017,229.300003,230.850006,227.649994,228.350006,227.75325,33243
1/11/2017,228.050003,230.699997,227.100006,227.850006,227.254547,76832
1/12/2017,227.5,229,227.050003,227.649994,227.055054,38799
1/13/2017,227.5,229.699997,225.100006,226.050003,225.459259,28299
1/16/2017,225.149994,228.5,225,226,225.409378,80189
1/17/2017,226.899994,232,225.899994,226.949997,226.356888,90275
1/18/2017,227.5,236.899994,227.25,233.649994,233.039383,544380
1/19/2017,236,242.949997,234.199997,237.75,237.128677,647684
1/20/2017,238.649994,238.649994,233.5,235.050003,234.43573,177553
1/23/2017,235.050003,242.800003,234,241.449997,240.819,69138
1/24/2017,241.949997,243,234.699997,239.399994,238.774353,104310
1/25/2017,234,238.899994,231.949997,235.350006,234.734955,148920
1/27/2017,235.350006,236.800003,226.25,227.199997,226.606247,119787
1/30/2017,227.199997,229,218,219.100006,218.52742,107491
1/31/2017,219.399994,219.75,212.949997,214.550003,213.989304,118216
2/1/2017,214.550003,217.600006,213,216.050003,215.485382,125013
2/2/2017,216.199997,222.300003,215,220.25,219.674408,705621
2/3/2017,219.5,226.350006,219.449997,225.5,224.91069,280845
2/6/2017,226,226.899994,224.550003,225.899994,225.309631,58127
2/7/2017,226.949997,227.899994,225,226,225.409378,116795
2/8/2017,226.050003,227.050003,225.699997,226.100006,225.509125,129912
2/9/2017,226.899994,231.300003,226,230.100006,229.498672,109747
2/10/2017,230.199997,234.5,228.350006,230.25,229.64827,88123
2/13/2017,230.350006,233.899994,230,232.850006,232.241486,185798
2/14/2017,231.399994,239.449997,230.449997,237.800003,237.178543,144660
2/15/2017,239,240.100006,234.949997,237.699997,237.078796,117665
2/16/2017,237.949997,241.399994,235.550003,240.050003,239.422668,58350
2/17/2017,242.199997,243,238.800003,242.149994,241.517166,50353
2/20/2017,241.850006,247.949997,238.550003,246.050003,245.406982,118757
2/21/2017,247,247.949997,242.850006,246.100006,245.456863,75387
2/22/2017,246.199997,247.449997,236.399994,237.850006,237.228424,42542
2/23/2017,239.600006,241,235.199997,237.850006,237.228424,32044
2/27/2017,238,246.949997,237,242.050003,241.417435,145533
2/28/2017,242.050003,247.25,242.050003,246.050003,245.406982,158181
3/1/2017,246.75,247.699997,237.800003,240.050003,239.422668,51429
3/2/2017,242.899994,244.949997,235.75,236.699997,236.081421,47323
3/3/2017,235.550003,238.649994,232.5,236,235.38324,45170
3/6/2017,237.949997,239,235,235.449997,234.834686,36778
3/7/2017,235.5,271.450012,235.5,266.049988,265.354706,1080142
3/8/2017,266,267,248.149994,249.649994,248.997574,370551
3/9/2017,248.699997,255,244.800003,247.050003,246.404373,192791
3/10/2017,246.100006,256.5,246.100006,253.25,252.588165,294058
3/14/2017,259.850006,260,253,253.5,252.837509,324992
3/15/2017,255.100006,255.100006,245.300003,248.600006,247.950317,162033
3/16/2017,248.5,253.699997,248,249.899994,249.246918,145668
3/17/2017,250,255.050003,245.5,250.149994,249.496262,268693
3/20/2017,250.949997,254.050003,249.050003,250.850006,250.194443,77997
3/21/2017,252.399994,253.550003,248.5,249.449997,248.798096,131886
3/22/2017,248.600006,250.149994,246,247.199997,246.55397,48412
3/23/2017,247.100006,252.5,247.100006,248.649994,248.000183,68697
3/24/2017,249,252.949997,247.550003,249.899994,249.246918,586393
3/27/2017,250,264,250,259.600006,258.92157,397855
3/28/2017,263.700012,278.350006,263.700012,273.950012,273.23407,611650
3/29/2017,275.899994,279.25,272.350006,275.950012,275.228851,287274
3/30/2017,278,280.799988,275.200012,278.350006,277.622589,419407
3/31/2017,278,288,269.899994,286.600006,285.851013,329436
4/3/2017,286.950012,293,279.100006,285.399994,284.654144,495301
4/5/2017,285.799988,304.700012,278.200012,294.299988,293.530884,649826
4/6/2017,297.549988,305,297,298.450012,297.670044,429188
4/7/2017,296.5,301.649994,296,298.399994,297.620178,424641
4/10/2017,298.649994,302.399994,294.100006,295.549988,294.777618,127366
4/11/2017,295.950012,301.649994,295.600006,297.950012,297.171356,444870
4/12/2017,299.899994,299.899994,288.100006,289,288.244751,113232
4/13/2017,289,296,288.049988,293.25,292.483643,82567
4/17/2017,294.5,298.25,292.799988,296.25,295.4758,114231
4/18/2017,297.899994,298.899994,288.700012,289.75,288.992767,59355
4/19/2017,293.799988,293.799988,279.600006,284.149994,283.40741,79087
4/20/2017,288,296,288,292.75,291.984924,152957
4/21/2017,294,302.5,294,297.549988,296.772369,340441
4/24/2017,299.299988,305,299.25,301.5,300.712067,201099
4/25/2017,304.450012,307,293.799988,296.450012,295.675293,338419
4/26/2017,298.799988,301.399994,293.450012,296,295.22644,169671
4/27/2017,297.850006,308.799988,296.149994,298,297.221222,197813
4/28/2017,303,306,270.100006,299.649994,298.866913,971489
5/2/2017,301.850006,304,290.049988,292.399994,291.635834,280654
5/3/2017,288.5,295,283.149994,292.899994,292.134552,878280
5/4/2017,290,293,282.100006,285.899994,285.152832,217441
5/5/2017,287,290,277.049988,277.950012,277.223633,89806
5/8/2017,279.25,285.850006,279.25,283.200012,282.4599,103190
5/9/2017,283.200012,284.600006,280.049988,281.200012,280.465149,63254
5/10/2017,280.049988,284.850006,280,280.450012,279.717102,73110
5/11/2017,280.75,285.799988,280.25,284,283.257813,179284
5/12/2017,284,286.450012,280.5,282.149994,281.412628,76215
5/15/2017,282,283,278,282.149994,281.412628,56998
5/16/2017,282,290,281.149994,285.799988,285.053101,169464
5/17/2017,284.5,288.600006,282.450012,287,286.249969,115014
5/18/2017,285.850006,288,280.700012,283.75,283.008453,104570
5/19/2017,285,289,283.25,288.049988,287.297211,93559
